well,protocol,A600,A700,mhYFP,mRaspberry,date,bacterium,strain,plasmid,promoter,code,biorep,antibiotic,mhYFP_by_A600,mRas_by_A600
E12,PRT14_6,0.7096666666666667,0.5996666666666667,22511.666666666668,44,2024_08_23,Salmonella enterica Typhimurium SL1344,ΔtopA::cat,pBR322 PleuWT.1 mhYFP-SalOpt lacO1.1 lacO1.2,PleuWT.1 mhYFP,pTORC65,12,Ampicillin,31721.46547674965,62.000939408172854
F1,PRT14_6,0.6686666666666666,0.5556666666666666,514.6666666666666,46,2024_08_23,Salmonella enterica Typhimurium SL1344,ΔSL1483::lacIMG1655-FRT ΔtopA::cat,pBR322,None,pTORC1,11,Ampicillin,769.690927218345,68.79361914257228
F2,PRT14_6,0.6946666666666667,0.5816666666666667,574.6666666666666,46,2024_08_23,Salmonella enterica Typhimurium SL1344,ΔSL1483::lacIMG1655-FRT ΔtopA::cat,pBR322,None,pTORC1,12,Ampicillin,827.2552783109404,66.21880998080614
F3,PRT14_6,0.6856666666666666,0.5756666666666667,14808.666666666666,50,2024_08_23,Salmonella enterica Typhimurium SL1344,ΔSL1483::lacIMG1655-FRT ΔtopA::cat,pBR322 PleuWT.1min mhYFP-SalOpt lacO1.1 lacO1.2,PleuWT.1min mhYFP,pTORC49,11,Ampicillin,21597.472046669907,72.92173067574137
F4,PRT14_6,0.7556666666666666,0.6536666666666666,15048.666666666666,57,2024_08_23,Salmonella enterica Typhimurium SL1344,ΔSL1483::lacIMG1655-FRT ΔtopA::cat,pBR322 PleuWT.1min mhYFP-SalOpt lacO1.1 lacO1.2,PleuWT.1min mhYFP,pTORC49,12,Ampicillin,19914.42434936039,75.43008381120424
F5,PRT14_6,0.7076666666666667,0.6006666666666667,46291.666666666664,42,2024_08_23,Salmonella enterica Typhimurium SL1344,ΔSL1483::lacIMG1655-FRT ΔtopA::cat,pBR322 PleuWT.1minRBS mhYFP-SalOpt lacO1.1 lacO1.2,PleuWT.1minRBS mhYFP,pTORC50,11,Ampicillin,65414.50777202072,59.34997644842205
F6,PRT14_6,0.7016666666666667,0.5906666666666667,50547.666666666664,45,2024_08_23,Salmonella enterica Typhimurium SL1344,ΔSL1483::lacIMG1655-FRT ΔtopA::cat,pBR322 PleuWT.1minRBS mhYFP-SalOpt lacO1.1 lacO1.2,PleuWT.1minRBS mhYFP,pTORC50,12,Ampicillin,72039.42992874108,64.13301662707839
F7,PRT14_6,0.6926666666666667,0.5806666666666667,552.6666666666666,6231,2024_08_23,Salmonella enterica Typhimurium SL1344,ΔSL1483::lacIMG1655-FRT ΔtopA::cat,pBR322 PleuWT.1min mRaspberry-SalOpt lacO1.1 lacO1.2,PleuWT.1min mRaspberry,pTORC63,11,Ampicillin,797.8825794032723,8995.668912415784
F8,PRT14_6,0.7196666666666667,0.6096666666666666,645.6666666666666,5028,2024_08_23,Salmonella enterica Typhimurium SL1344,ΔSL1483::lacIMG1655-FRT ΔtopA::cat,pBR322 PleuWT.1min mRaspberry-SalOpt lacO1.1 lacO1.2,PleuWT.1min mRaspberry,pTORC63,12,Ampicillin,897.1746178786475,6986.567855488652
F9,PRT14_6,0.6856666666666666,0.5696666666666667,485.66666666666663,16585,2024_08_23,Salmonella enterica Typhimurium SL1344,ΔSL1483::lacIMG1655-FRT ΔtopA::cat,pBR322 PleuWT.1minRBS mRaspberry-SalOpt lacO1.1 lacO1.2,PleuWT.1minRBS mRaspberry,pTORC64,11,Ampicillin,708.3130772970345,24188.138065143412
F10,PRT14_6,0.6926666666666667,0.5726666666666667,512.6666666666666,16305,2024_08_23,Salmonella enterica Typhimurium SL1344,ΔSL1483::lacIMG1655-FRT ΔtopA::cat,pBR322 PleuWT.1minRBS mRaspberry-SalOpt lacO1.1 lacO1.2,PleuWT.1minRBS mRaspberry,pTORC64,12,Ampicillin,740.1347449470644,23539.461020211744
F11,PRT14_6,0.7036666666666667,0.5946666666666667,23916.666666666668,41,2024_08_23,Salmonella enterica Typhimurium SL1344,ΔSL1483::lacIMG1655-FRT ΔtopA::cat,pBR322 PleuWT.1 mhYFP-SalOpt lacO1.1 lacO1.2,PleuWT.1 mhYFP,pTORC65,11,Ampicillin,33988.630980577924,58.266224538133585
F12,PRT14_6,0.6976666666666667,0.5846666666666667,22540.666666666668,48,2024_08_23,Salmonella enterica Typhimurium SL1344,ΔSL1483::lacIMG1655-FRT ΔtopA::cat,pBR322 PleuWT.1 mhYFP-SalOpt lacO1.1 lacO1.2,PleuWT.1 mhYFP,pTORC65,12,Ampicillin,32308.647873865262,68.80076445293837
